,name,st_size,st_mode,st_ino,st_dev,st_nlink,st_uid,st_gid,st_atime,st_mtime,st_ctime
0,Jingle cats and barking dogs - white christmas.mp3,2514976,33206,1582583,4172478725,1,0,0,2023-03-27 19:21:46.981108,2017-04-16 21:28:25.136633,2019-05-16 16:32:13.008666
1,Lay lady lay.mp3,3206208,33206,1582584,4172478725,1,0,0,2023-03-27 19:21:48.202105,2019-09-28 16:52:43.007666,2019-05-16 16:32:13.045665
2,One hit wonders - shocking blu.mp3,3005167,33206,1582588,4172478725,1,0,0,2023-03-27 19:21:48.265104,2019-09-28 16:52:46.754728,2019-05-16 16:32:13.142663
3,"Peter, paul, & mary - turn ,turn ,turn(1966).mp3",3802304,33206,1582589,4172478725,1,0,0,2023-03-27 19:21:48.379104,2019-09-28 16:52:49.070589,2019-05-16 16:32:13.166663
4,President george bush speaks o.mp3,8112256,33206,1582590,4172478725,1,0,0,2023-03-27 19:21:48.554104,2019-09-28 16:52:51.924223,2019-05-16 16:32:13.189662
5,Ray charles - that lucky old sun.mp3,8380084,33206,1582591,4172478725,1,0,0,2023-03-27 19:21:48.623103,2019-09-28 16:52:54.659914,2019-05-16 16:32:13.200662
6,Reg bouvette - orange blossom special.mp3,2358460,33206,1582592,4172478725,1,0,0,2023-03-27 19:21:48.918103,2019-09-28 16:52:57.369249,2019-05-16 16:32:13.226662
7,Sometimes when we touch 1.mp3,3930532,33206,1582593,4172478725,1,0,0,2023-03-27 19:21:49.118102,2019-09-28 16:53:03.584261,2019-05-16 16:32:13.282660
8,Thunder only happens when its raining.mp3,4092032,33206,1582698,4172478725,1,0,0,2023-03-27 19:21:49.285102,2019-09-28 16:53:11.130390,2019-05-16 16:32:13.737652
9,Track 06.mp3,2970694,33206,1582718,4172478725,1,0,0,2023-03-27 19:21:49.543101,2019-09-28 16:53:14.375100,2019-05-16 16:32:13.809650
10,Yvonne printemps - plaisir d'a.mp3,5412864,33206,1582852,4172478725,1,0,0,2023-03-27 19:21:49.938100,2019-09-29 06:50:26.906881,2019-05-16 16:32:14.195642
11,.mp3,2197256,33206,1503540,4172478725,1,0,0,2023-03-27 23:11:49.893108,2019-10-03 21:55:48.811040,2019-05-16 16:27:33.905217
12,17   crystals - then he kissed me - 1963.mp3,3596425,33206,1582498,4172478725,1,0,0,2023-03-29 14:54:16.995178,2019-10-03 21:55:49.112080,2019-05-16 16:32:12.191682
13,Boxcar willie & willy nelson - boxcar's my home.mp3,3568675,33206,1582554,4172478725,1,0,0,2023-03-27 23:11:50.305101,2007-08-06 19:47:34.000000,2019-05-16 16:32:12.554675
14,Celebration of the lizard king.mp3,2328001,33206,1582555,4172478725,1,0,0,2023-03-27 23:11:50.720093,2019-10-03 21:55:50.387550,2019-05-16 16:32:12.587674
15,Cool water.mp3,3220419,33206,1582565,4172478725,1,0,0,2023-03-27 23:11:50.982089,2019-10-03 21:55:51.266338,2019-05-16 16:32:12.626674
16,Crazy alice doesn't like artie tue 032106.mp3,1753765,33206,1582567,4172478725,1,0,0,2023-03-27 23:11:51.325083,2019-10-03 21:55:51.949203,2019-05-16 16:32:12.641673
17,Crazy alice gets prank called from sal & richard thu 042706.mp3,3037239,33206,1582568,4172478725,1,0,0,2023-03-27 23:11:51.493080,2019-10-03 21:55:52.806639,2019-05-16 16:32:12.642673
18,Crazy alice 'had a bad day' song parody (5-3-06).mp3,323712,33206,1582566,4172478725,1,0,0,2023-03-27 23:11:51.642077,2019-10-03 21:55:53.684620,2019-05-16 16:32:12.639673
19,Dion and the belmonts - a teenager in love.mp3,5013632,33206,1582569,4172478725,1,0,0,2023-03-27 23:11:51.905073,2011-06-22 22:35:50.000000,2019-05-16 16:32:12.658673
20,Doowop - jimmy beaumont & the skyliners- i only have eyes for you (ca. 1959).mp3,3205220,33206,1582570,4172478725,1,0,0,2023-03-27 23:11:52.123069,2019-10-03 21:55:54.610474,2019-05-16 16:32:12.710672
21,Europa.mp3,8805286,33206,1582573,4172478725,1,0,0,2023-03-27 23:11:52.316065,2019-10-03 21:55:55.548762,2019-05-16 16:32:12.846669
22,Great speeches - vince lombardi - win win win.mp3,1982848,33206,1582574,4172478725,1,0,0,2023-03-27 23:11:52.488062,2019-10-03 21:55:56.463622,2019-05-16 16:32:12.907668
23,Greatest guitar solos - 001 spanish guitar - eric clapton - classical guitar solos - (acoustic).mp3,2521216,33206,1582575,4172478725,1,0,0,2023-03-27 23:11:52.627060,2019-10-03 21:55:57.253953,2019-05-16 16:32:12.909668
24,Howard stern - goodbye yellowbrick teeth(bababooey).mp3,1547957,33206,1582576,4172478725,1,0,0,2023-03-27 23:11:52.780057,2019-10-03 21:55:58.081732,2019-05-16 16:32:12.937667
25,Howard stern - hank is dead - wasting time.mp3,20688982,33206,1582577,4172478725,1,0,0,2023-03-27 23:11:52.929054,2019-10-03 21:55:59.362111,2019-05-16 16:32:12.944667
26,Howard stern - jeff the drunk saying oh shut up bitch.mp3,55487,33206,1582581,4172478725,1,0,0,2023-03-27 23:11:53.099051,2011-06-23 03:31:50.000000,2019-05-16 16:32:12.959667
27,Howard stern - jun-22-04 - eric the midget calls in pissed off.mp3.mp3,2068809,33206,1582578,4172478725,1,0,0,2023-03-27 23:11:53.245049,2019-10-03 21:55:59.986418,2019-05-16 16:32:12.948667
28,Howard stern - you are an idiot.mp3,11607,33206,1582579,4172478725,1,0,0,2023-03-27 23:11:53.395046,2011-06-23 03:33:28.000000,2019-05-16 16:32:12.957667
29,Howard stern_goodbye yellowbri.mp3,1547829,33206,1582580,4172478725,1,0,0,2023-03-27 23:11:54.001036,2017-04-16 21:28:20.282224,2019-05-16 16:32:12.958667
30,Howard's tirade at stuttering john.mp3,12750725,33206,1582582,4172478725,1,0,0,2023-03-27 23:11:54.861021,2019-10-03 21:56:00.691991,2019-05-16 16:32:12.973667
31,Rhonda vincent & vern gosdin - just someone i used to know.mp3,2468798,33206,4970092,4172478725,1,0,0,2023-03-27 23:15:34.204182,2019-09-28 16:53:01.103786,2019-05-16 16:32:14.215642
32,The orlons - gee whiz.mp3,2437233,33206,4970097,4172478725,1,0,0,2023-03-27 23:15:34.387178,2019-09-28 16:53:07.465847,2019-05-16 16:32:13.711652
33,Want to walk you home 1959-08.mp3,3399982,33206,4970104,4172478725,1,0,0,2023-03-27 23:15:34.680173,2019-09-28 16:53:18.727281,2019-05-16 16:32:14.040646
34,"No rhyme, no reason           .mp3",6409323,33206,1505272,4172478725,1,0,0,2023-03-27 19:22:04.535062,2011-06-23 18:17:52.000000,2019-05-16 16:27:35.733181
35,Track 1.mp3,8751112,33206,1505276,4172478725,1,0,0,2023-03-27 19:21:52.279094,2019-09-28 19:06:44.703642,2019-05-16 16:27:35.734181
36,Track 10.mp3,9664612,33206,1505285,4172478725,1,0,0,2023-03-27 19:21:55.017087,2019-09-28 19:06:53.939855,2019-05-16 16:27:35.738181
37,Track 11.mp3,9827476,33206,1505286,4172478725,1,0,0,2023-03-27 19:21:55.380086,2019-09-28 19:07:16.768262,2019-05-16 16:27:35.738181
38,Track 12.mp3,8171692,33206,1505287,4172478725,1,0,0,2023-03-27 19:21:55.556085,2019-09-28 19:07:31.006307,2019-05-16 16:27:35.738181
39,Track 13.mp3,9198988,33206,1505288,4172478725,1,0,0,2023-03-27 19:21:55.828085,2019-09-28 19:07:43.083227,2019-05-16 16:27:35.739181
40,Track 2.mp3,9401524,33206,1505277,4172478725,1,0,0,2023-03-27 19:21:52.651093,2019-09-28 19:08:07.599451,2019-05-16 16:27:35.734181
41,Track 3.mp3,9013156,33206,1505278,4172478725,1,0,0,2023-03-27 19:21:52.780093,2019-09-28 19:08:17.024435,2019-05-16 16:27:35.735181
42,Track 4.mp3,10210624,33206,1505279,4172478725,1,0,0,2023-03-27 19:21:53.028092,2019-09-28 19:08:23.468218,2019-05-16 16:27:35.735181
43,Track 5.mp3,8672812,33206,1505280,4172478725,1,0,0,2023-03-27 19:21:53.173092,2019-09-28 19:08:30.135292,2019-05-16 16:27:35.736181
44,Track 6.mp3,8192572,33206,1505281,4172478725,1,0,0,2023-03-27 19:21:53.669090,2019-09-28 19:08:37.058656,2019-05-16 16:27:35.736181
45,Track 7.mp3,7825084,33206,1505282,4172478725,1,0,0,2023-03-27 19:21:54.031089,2019-09-28 19:08:44.021054,2019-05-16 16:27:35.736181
46,Track 8.mp3,9131128,33206,1505283,4172478725,1,0,0,2023-03-27 19:21:54.251089,2019-09-28 19:08:50.996898,2019-05-16 16:27:35.737181
47,Track 9.mp3,8614348,33206,1505284,4172478725,1,0,0,2023-03-27 19:21:54.710088,2019-09-28 19:09:00.819215,2019-05-16 16:27:35.737181
